eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010010114.31P,2010-01-10T12:09:08,2010-01-01 02:31:31,   420,0.427,  -1.8029, -78.1065, 179.22,-175.92,   3.70,   1.56,   5.15,   18.11,   vc1,   110,    31,    5, 193.64,  49.28, 185.87,    EPN
2010010115.24P,2010-01-10T12:12:06,2010-01-01 03:24:08,   140,0.474,  -0.9562, -78.1565,  17.02, -13.72,   3.80,   0.46,   1.39,   12.83,   vc1,   150,    47,   10, 150.36,  27.87,  32.65,    EPN
2010010116.04P,2010-01-10T12:18:10,2010-01-01 04:04:00,   370,0.551,  -0.3675, -79.4697,  32.98, -29.68,   3.50,   1.31,   1.66,  110.59,   vc1,    80,    29,    3,  99.78,  47.14,  57.53,    EPN
2010010208.26P,2010-01-10T12:58:54,2010-01-02 08:26:12,   680,0.939,  -1.7556, -81.8406,  11.66,  -8.36,   4.40,   4.35,   6.28,    9.33,   vc1,   200,    42,    4, 272.27, 101.35, 102.02,    EPN
2010010208.32P,2010-01-10T12:53:27,2010-01-02 08:31:44,   650,0.695,   0.6534, -79.2827,  21.94, -18.64,   3.80,   1.99,   2.71,   62.79,   vc1,   110,    40,   11, 226.99,  97.38,  99.82,    EPN
2010010316.28P,2010-01-10T16:04:36,2010-01-03 04:28:09,    90,0.505,  -2.3095, -78.7617,  10.74,  -7.44,   3.70,   1.12,   1.77,   11.40,   vc1,   100,    32,    6, 142.06,  62.87,  63.78,    EPN
2010010401.58P,2010-01-13T14:15:05,2010-01-04 01:58:12,   170,0.525,  -2.3256, -79.8491,   7.47,  -4.17,   3.70,   1.10,   3.34,   35.44,   vc1,    90,    25,    5, 198.59, 137.94, 138.14,    EPN
2010010402.33P,2010-01-14T08:32:06,2010-01-04 02:33:37,   290,0.832,  -1.6695, -81.8497,  24.76, -21.46,   4.80,   3.49,   8.32,   10.53,   vc1,   400,    37,    2, 272.92,  97.40, 100.50,    EPN
2010010405.30P,2010-01-14T08:34:53,2010-01-04 05:30:37,   630,0.635,  -0.8572, -79.4233,  28.36, -25.06,   3.50,   1.76,   4.16,  176.69,   vc1,    80,    26,    4, 277.39,  88.70,  93.12,    EPN
2010010417.00P,2010-01-14T08:44:07,2010-01-04 05:00:09,   290,0.669,   0.1738, -78.8465,  11.77,  -8.47,   3.90,   1.28,   1.52,  159.14,   vc1,   150,    40,    6, 121.25,  32.50,  34.57,    EPN
